N,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
test_1,0.000668,0.002512,0.005590,0.009862,0.015417,0.022146,0.029995,0.039279,0.051099,0.060945,0.073912,0.087543,0.102385,0.118614,0.141422,0.154845,0.184919,0.197465,0.220796,0.248737
test_2,0.000713,0.002735,0.006512,0.011081,0.017283,0.024846,0.034536,0.043759,0.055386,0.070388,0.082498,0.098202,0.115836,0.135142,0.156867,0.182881,0.206647,0.221695,0.254688,0.285684
test_3,0.000699,0.002684,0.005983,0.010600,0.016509,0.023376,0.031959,0.041745,0.052116,0.063897,0.077605,0.091346,0.108414,0.125422,0.144402,0.163959,0.184998,0.206759,0.230859,0.257807
